[29/46] app.scalaCompilerClasspath | Downloading [1/1] artifacts (~0/0 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [1/1] artifacts (~0/2527 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [1/1] artifacts (~2527/2527 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [1/1] artifacts (~2527/2527 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [2/2] artifacts (~2527/2527 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [3/3] artifacts (~2527/2527 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [3/3] artifacts (~2527/20214 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [3/3] artifacts (~18355/20214 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [3/3] artifacts (~20214/20214 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [3/3] artifacts (~20214/20214 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [3/3] artifacts (~20214/22243 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [3/3] artifacts (~21593/22243 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [3/3] artifacts (~22243/22243 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [3/3] artifacts (~22243/22243 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~22243/22243 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~22243/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~23622/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~25001/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~26380/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~27759/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~29138/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~30517/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~31896/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~33275/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~34654/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~36033/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~37412/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~38791/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~40170/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~41549/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~42928/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~44307/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~45686/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~46049/46049 bytes)
[29/46] app.scalaCompilerClasspath | Downloading [4/4] artifacts (~46049/46049 bytes)
